A031,GUNTUR-4,"D.No: 9-1-19/5 , Beside Nazz Theatre"," Nazz Centre , Guntur.",,522001,GUNTUR,Andhra Pradesh
A032,GUNTUR-5,"D.No.22-1-11 & 12 , ",Jinna Tower Centre," Lalapet , Guntur-Pin:522001",522001,GUNTUR,Andhra Pradesh
A033,GUNTUR-6,"4/7 , ",Brodipet," Guntur , PIN: 522002",522002,GUNTUR,Andhra Pradesh
A034,HANUMANJUNCTION,"D.No.8-175/3 , Near Bus Station"," Vijayawada Road , Hanuman Junction", PIN: 521105,521105,HANUMANJUNCTION,Andhra Pradesh
A035,HINDUPUR,"D.No.17-3-623 , Near Ambedkar Circle"," Opp: Balaji Lodge , PENUGONDA ROAD", HINDUPUR,515201,HINDUPUR,Andhra Pradesh
A036,JAGAYYAPETA,"D.No. 6-3 ,Opp.Bus Stand"," Jaggaiahpet , Krishna District"," A.P. ,  ",521175,JAGGAIAHPET,Andhra Pradesh
A037,JANGAREDDYGUDEM,"D.No. 13-1-197 , Bose bomma centre"," Opp Andhra Bank ATM , ",Jangareddigudem West Godavari District.,534447,Jangareddigudem,Andhra Pradesh
A038,CUDDAPAH-2,"Door No.2/11 ,  KNR  Complex"," Kotireddy  Circle , Beside Café Cudapa"," R.S. Road ,  Kadapa. ",516001,CUDDAPAH,Andhra Pradesh
A039,CUDDAPAH-3,"Shop No: 5 & 6 , ",New RTC Bus Stand Complex," Railway Station Road ,Kadapa",516001,CUDDAPAH,Andhra Pradesh
A040,KADIRI,"D.NO: 1-776-1 ,Laxmi Complex","Swami Vivekananda Street ,Water Tank Road","Kadiri(Post) ,Ananthapur(Dt) ,A.P-515591 ",515591,KADIRI,Andhra Pradesh
A041,KAKINADA-1,"D.NO. 37-1-20 , BESIDE WELCOME HOTEL"," MAIN ROAD ,KAKINADA.",,533001,KAKINADA,Andhra Pradesh
A042,KAKINADA-2,"D.NO: 37-1-34 ,BLOCK NO:37"," MUNCIPAL WARD NO 17 ,KAKINADA MUNCIPALITY AND TOWN","EAST GODAVARI ,AP-5330001 ",533001,KAKINADA,Andhra Pradesh
A043,KANCHARAPALEM,"Door No. 57-1-60 , Urvasi Center"," Subhashnagar , 41 ward"," Kanchanapalem Main Road , Visakhapatnam , A.P-530008 ",530008,Vishakapatnam,Andhra Pradesh
A044,KURNOOL-1,"40-304 , MOURYA INN COMPLEX"," RS ROAD , BHAGYANAGAR", KURNOOL,518004,KURNOOL,Andhra Pradesh
A045,KURNOOL-2,"Shop No. 40/321 , D2"," Opp Zilla Parishat , Kurnool",,518001,KURNOOL,Andhra Pradesh
A046,KURNOOL-3,"D. No.87/587 ,  Jakkam Complex"," Ward No.87 , Srinagar Colony", Kurnool ,518001,KURNOOL,Andhra Pradesh
A047,MACHILIPATNAM,"DO.NO:11/607  , 608 ","ROBORTSONPET ,  OPP. MUNCIPAL OFFICE ",MAIN ROAD MACHILIPATNAM - 521 001,521001,MACHILIPATNAM,Andhra Pradesh
A048,MADANAPALLI,D.No.26-1(A) ,",CTM ROAD MADANAPALLI",,517325,MADANAPALLE,Andhra Pradesh
A049,MADDILAPALEM,"Indoor Stadium Road , ",Resapuvanipalem," Visakhapatnam ,",530013,Vishakapatnam,Andhra Pradesh
A050,MARRIPALEM,"D.No.58-1-72 ,  Main Road"," Marripalem , Visakhapatnam -530 018.",,530018,Visakhapatnam,Andhra Pradesh
A051,NANDYALA-1,"D.No.25/516 , Beside Canara Bank"," Srinivas Nagar , NANDYAL", Pin: 518301,518501,Nandyala,Andhra Pradesh
A052,NANDYAL-2, D.No.25/174-C ,"Sanjeevanagar , Main Road"," Nandyal , Kurnool District",518501,Nandyala,Andhra Pradesh
A053,NARASARAOPET-1,"D.No.7-1-43 , VAISHNAVI COMPLEX"," CLOCK TOWER CENTRE , STATION ROAD", NARASARAOPET-522601,522601,NARASARAOPET,Andhra Pradesh
A054,NARASARAOPET-2,"D.NO: 9-9-44 ,ARUNDELPETA","BESIDE UNION BANK ,MORE CENTER","NARASARAO PETA (TALUKA) ,NARASARAOPET TOWN ,GUNTUR(DT) ,AP-522601 , ,",522601,NARASARAOPET,Andhra Pradesh
A055,NARSAPURAM,"D.NO: 5-4-29/1 , STEEMER ROAD","NARSAPURAM ,WEST GODAVARI (DT)",AP-534275,534275,Narsapuram,Andhra Pradesh
A056,NARSIPATNAM,"D.No.53-22(1) , ",Opp: SKPT Building," NARSIPATNAM ,-531116",531116,NARSIPATNAM,Andhra Pradesh
A057,NELLORE -1,"Block No:15 ,R.R Street","Near Nartaki Theatre ,Ward No:15"," Nellore  ,Pin:524001 ",524001,Nellore,Andhra Pradesh
A058,NELLORE-2,"D.No.324 , Swathi Complex"," Gandhi Bomma Centre , Trunk Road"," Nellore ,Pin:524001 ",524001,Nellore,Andhra Pradesh
A059,Nellore-3,"D.No.39 , Opp: Kapu Street"," Trunk Road , Nellore.",Pin:524001,524001,Nellore,Andhra Pradesh
A060,NELLORE-4,"D.No.26-6-90 ,  Simhapuri Centre"," G.N.T Road , Gandhi Nagar"," Nellore ,Pin:524004 ",524005,Nellore,Andhra Pradesh
A061,TADIPATRI 2,"ROOM NO: 2&3  ,KANCHANI COMPLEX"," C.B.ROAD ,Y.S.R CIRCLE",TADIPATHRI-515411,515411,TADIPATHRI,Andhra Pradesh
A062,NUZIVEEDU,"D.No.7/69 ,  Opp Apsara Theatre"," Bus Stand Road , Nuziveedu",,521201,Nuziveedu,Andhra Pradesh
A063,ONGOLE-1,"D.NO 37-1-169 ,SHOP NO 11","JYOTHI PLAZA ,KURNOOL RD",ONGOLE,523002,Ongole,Andhra Pradesh
A064,ONGOLE-2,D.NO: 58-9-13 ,",Opp to Ratnamaham Theatre","Trunk Road ,Ongole",523001,Ongole,Andhra Pradesh
A065,ONGOLE-3,"D.NO: 37-1-175(2) , Ground Floor","Near Addanki Bus stop ,Opp to Chunduri Petrol bunk",Ongole,523001,Ongole,Andhra Pradesh
A066,PALAKOLLU,"DNO 14-4-66 ,Nr. PEDDA GOPURAM","MAIN ROAD , PALAKOL",,534260,Palakollu,Andhra Pradesh
A067,PALASA-1,"D.No: 1-6-882/L , Opp: HDFC Bank"," K.T. Road , Kasibugga (Palasa).",,532222,PALASA,Andhra Pradesh
A068,PALASA-2,"D.No.12-12-44 ,  K.T.Road"," Kasibugga Village , Palasa", Srikakulam Dist,532222,PALASA,Andhra Pradesh
A069,MACHILIPATNAM-2,"Shop D.No.24/18, 24/19 and 24/20, in the ground floor ","of the building situated at  Ramanaidupet, ","Valluri Raja,Centre, Machilipatnam, Krishna District",521001,MACHILIPATNAM,Andhra Pradesh
A070,PIDIGURALLLA,"D.No.14-13 ,  Main Road"," Piduguralla , Guntur District.",,522413,Piduguralla,Andhra Pradesh
A071,PRODUTUR-1,"D NO: 9/624 , MYDUKUR ROAD"," REVENUE WARD NO 9 , PRODDUTUR",,516360,PRODUTUR,Andhra Pradesh
A072,PRODUTUR-2,"Dr. No: 197 ,198","199 ,  Gandhi Chowk", Proddutur,516360,PRODUTUR,Andhra Pradesh
A073,RAJAM,BESIDE VENKATA PADMA THEATRE ,",OPP TO AMRUTHA MEDI CARE","SRIKAKULAM ROAD ,RAJAM",532127,RAJAM,Andhra Pradesh
A074,RAJAMUNDRY-1,"HNO.30-1-23 , NEAR A.E.L.C. CHURCH"," JANDAPANJA ROAD , RAJAHMUNDRY",,533101,Rajahmundry,Andhra Pradesh
A075,RAJAMUNDRY-2,6-1-8 RANGACHARI STREET ,T NAGAR," RAJAHMUNDRY ,",533101,Rajahmundry,Andhra Pradesh
A076,RAJAMUNDRY-3,HNO.30-1-22 , JANDAPANJA ROAD," RAJAHMUNDRY ,",533010,Rajahmundry,Andhra Pradesh
A077,RAJAMUNDRY-4,D.No.8-24-155 & 156 , Main Road," Rajahmundry ,",533101,Rajahmundry,Andhra Pradesh
A078,RAMACHANDRAPURAM,"D.NO: 13-1-16 &17 , MAIN ROAD","OPPOSITE JUNIOR COLLEGE ,REVENUE WARD NO:5"," RAMACHANDRAPURAM ,EAST GODAVARI (DT) ,AP-533256 ",533255,Ramachandrapuram,Andhra Pradesh
A079,RAYACHOTI,"D.NO: 46/112 ,BOSE NAGAR","CHITTOR TRUNK ROAD ,RAYACHOTI TOWN",KADAPA(DT)-516269,516269,Rayachoti,Andhra Pradesh
A080,REPALLE,"D.NO.5-8-89 , Opp: Krishna Theatre"," Main Road , Repalle.",,522265,Repalle,Andhra Pradesh
A081,SRIKAKULAM-1,"D.NO. ,   G.T.ROAD"," OPP: ANDHRA , BANK", SRIKAKULAM,532001,Srikakulam,Andhra Pradesh
A082,SRIKAKULAM-2,"D.NO: 167/2 , DAY AND NIGHT JUNCTION"," NEAR VARAM RESIDENCY , SRIKAKULAM TOWN","SRIKAKULAM (DT) ,AP-532001 ",532001,Srikakulam,Andhra Pradesh
A083,SULLURPET,"D.No.9-6-102 , G.N.T Road"," Sullurpet , Nellore"," A.P. ,  ",524121,Sullurupata,Andhra Pradesh
A084,TADEPALLIGUDEM,"D.No.3-1-20/4 , Nandibomma Centre"," K.N.ROAD , TADEPALLIGUDEM.",,534101,Tadepallegudem,Andhra Pradesh
A085,TADIPATHRI,"D No 5-32-2, Shop No 1 Nabi Complex",C.B Road Tadipatri,,515411,TADIPATRI,Andhra Pradesh
A086,TANUKU,"SNO NO G-1 , AMMATOWERS","  RP ROAD , TANUKU",,534211,TANUKU,Andhra Pradesh
A087,TENALI-1,"22-11-27 , PST TOWERS"," BOSE ROAD , TENALI",,522201,TENALI,Andhra Pradesh
A088,TENALI-2,"D.NO: 22-11-37 ,Bose Road","Near Venus Theatre ,Tenali","Guntur(Dt) ,A.P-522201 ",522201,TENALI,Andhra Pradesh
A089,TIRUPATHI-1,"D.No.11-1-331 , GANDHI ROAD"," TIRUPATI. ,",,517501,TIRUPATHI,Andhra Pradesh
A090,TIRUPATHI-2,"D.No.10-14-580 , TILAK Rd."," Nr.CENTRAL PARK , TIRUPATI",,517501,TIRUPATHI,Andhra Pradesh
A091,TIRUPATHI-3,"D.No.194/C , PRAKASAM ROAD"," TIRUPATI ,",,517501,TIRUPATHI,Andhra Pradesh
A092,TIRUPATHI-4,"D.No.19-8-84/G4 , Ward  No.19","  A.I.R. Bypass Road , Tirupathi.",,517501,TIRUPATHI,Andhra Pradesh
A093,TIRUPATHI-5,"D.No.10-12-409 , Doddapuram Street"," Opp: Sridevi Complex , Tilak Road",Tirupathi ,517501,TIRUPATHI,Andhra Pradesh
A094,TIRUVURU,"Door No: 11-91 , Chirala center"," Nadim Tiruvuru village , Tiruvuru Mandal"," Krishna District , A.P. ",521235,TIRUVURU,Andhra Pradesh
A095,VIJAYANAGARAM-1 ,"D.No.18-2-19 , A.G. ROAD"," OPP: CO.OP BANK , VIZIANAGARAM",,535002,VIJAYANAGARAM,Andhra Pradesh
A096,VIJAYANAGARAM-2,"D.NO: 8-12-4 ,SHOP NO: 3&6","FATIMA PLAZA ,SANTHAPETA SOUTH WARD","NORTH ROW OF LOWER TANK BUND ROAD ,VIJAYANAGARAM TOWN ,VIJAYANAGARAM(DT) ,AP-535001 , ,",535003,VIJAYANAGARAM,Andhra Pradesh
A097,VIJAYAWADA-1,"MASZEED STREET , ARUNDELPET"," ELURU ROAD , VIJAYAWADA",,520001,Vijayawada,Andhra Pradesh
A098,VIJAYAWADA-2,"29-37-79 NR VIJAYA TALKIES , ELURU ROAD"," VIJAYAWADA-2 ,",,520002,Vijayawada,Andhra Pradesh
A099,VIJAYAWADA-3,"D.NO40-1-50/1A , OPP. P&T Quarters","M.G.Road , VIJAYAWADA",,520010,Vijayawada,Andhra Pradesh
A100,PENDURTI,"H.No.1-139, Old Pendurti, Visakhapatnam",,,531173,Visakhapatnam,Andhra Pradesh
A101,PONNURU,"H.No.15-1-115, G.B.C. Road, Revenue ward no.9, ","Ponnur, Guntur Dis,Pin:522124",,522124,GUNTUR,Andhra Pradesh
A102,VIJAYAWADA-4,"D.NO: 40-1-22 , AM PLAZA"," LABBIPET ,Opp: MVR Mall", VIJAYAWADA-520010,520010,Vijayawada,Andhra Pradesh
A103,VIJAYAWADA-5,"D.No.73-1-11 , Korali’s Complex"," Opp: Durga Mahal Theatre , Padamata",VJA-10.,520010,Vijayawada,Andhra Pradesh
A104,VIJAYAWADA-7,"D.No.75-12-33 , Hyderabad Road"," Bhavanipuram , Vijayawada", Krishna Dist,520012,Vijayawada,Andhra Pradesh
A105,VIJAYAWADA-8,"D.No.29-27-7/11 to 15 ,  Opp. Kanakadurga Talkies"," Eluru Rd. , Suryaraopet", Vijayawada – 520 002.,520002,Vijayawada,Andhra Pradesh
A106,VIJAYAWADA-9,"D.NO: 28-1-53 ,GROUND FLOOR"," NEAR RAMA MANDIRAM ,ELURU ROAD",VIJAYAWADA-520002,520002,Vijayawada,Andhra Pradesh
A107,ANANTHAPUR-3,"DNO.14-105/1-4 , Rambo Street","   SUBHASH ROAD , ANANTAPUR", PIN: 515001,515001,ANANTHAPUR,Andhra Pradesh
A108,TIRUPATHI-6,"D.NO: 20-3-126/B4 , Ground Floor"," Tirumala Bypass Road , Leela Mahal Center",Tirupathi-517501,517502,TIRUPATHI,Andhra Pradesh
A109,VIJAYAWADA-10,"D. NO: 29-37-137-138 WARD NO 9 , S NO 694-A 1&2"," GROUND FLOOR , GOVERNERPET", VIJAYAWADA,520007,VIJAYAWADA,Andhra Pradesh
A110,NARSANNAPET,"DOOR NO 8-198,JAYALAXMI COMPLEX,","OPP RTC COMPLEX ,NARSANNAPET-532421",,532421,NARSANNAPET,Andhra Pradesh
A111,MARKAPURAM,"ALN Guptha House No: 6/5 , Beside SBI Atm and Karur Vysya Bank","Naidu Street , Markapuram",,523316,MARKAPURAM,Andhra Pradesh
A112,TUNI,"D.NO: 4-18-25 , Giduthuri Building"," Beside Choice Digital Plaza , Feeder Road", Tuni,533001,TUNI,Andhra Pradesh
A113,DIAMOND PARK - 2,"Beside Gupta Brothers , ",Diamondpark,Visakapatnam-500020,500020,Vishakapatnam,Andhra Pradesh
A114,DIAMONDPARK-3,"H.NO 47-11-28- , 47-13-8"," DWARAKA NAGAR , VISHAKAPATNAM",,515671,Vishakapatnam,Andhra Pradesh
A115,MADANAPALLI-2,"SH NO 4/230 , 231-AVENUE RAOD"," NEAR JYOTHI THEATER , OLD SYNDICATE BANK", MADANAPALLY,517325,MADANAPALLI-2,Andhra Pradesh
A116,DABAGARDENS-5,"Beside BSNL Office , Daba gardens"," Visakapatnam-500020 ,",,530020,Vishakapatnam,Andhra Pradesh
A117,PARVATHIPURAM-1,"SURVEY NO 392/15P , BESIDE SBI MAIN BRANCH"," MAIN ROAD , PARVATHIPURAM",,535501,PARVATHIPURAM-1,Andhra Pradesh
A118,TANUKU-2,"D NO : 34-13-4/1 (G+1) RASHTRAPATHI ROAD , ",REVENUE WARD  NO 12," TANUKU ,",534211,TANUKU-2,Andhra Pradesh
A119,DABAGARDENS4,"Opposite Post office , Dabagardens"," Visakhapatnam-500020 ,",,530020,Vishakapatnam,Andhra Pradesh
A120,KAKINADA-3,"Shop no.2-6-37, Ground floor , vallabhai street ",Block No.2 Kakinada,,533001,KAKINDA,Andhra Pradesh
A121,HINDUPUR-2,"Door No,2-3-20,Mukkadipata, Penukonda",Hindupur,,515201,Hindupur,Andhra Pradesh
A122,RAJAMUNDRY-5,"D.NO 30-1-16,Ground floor , Lakshmi varapupet",REVENUE WARD  NO 14,,533101,RAJAMUNDRY,Andhra Pradesh
A123,MVP COLONY,"Sector 6, Opp to SBH ATM, Visakapatnam-500017",,,530017,Visakhapatnam,Andhra Pradesh
AP01,HEAD OFFICE -AP,"PLOT NO: 209 , BLOCK NO C-07"," 100ft RAOD , KANURU", VIJAYAWADA,500037,Vijayawada,Andhra Pradesh
