1101410,6989
1101393,19572.37
1100909,124
1100596,642.86
1100904,666.67
1100679,600
1100866,666.67
1100707,1557.7
1100910,1201.92
1100821,1586.54
1100680,916.98
1101403,642.86
1100483,399
1101340,1338.39
1100005,446.43
1100006,534.82
1100008,12112.81
1100428,8550
1100013,12112.81
1100914,0
1101179,10456.25
1101117,14348.21
1101118,14348.21
1100030,3570.54
1100469,7142.86
1100600,8035.71
1101120,8482.14
1101121,10713.39
1100035,8481.25
1100022,3570.54
1101119,19132.14
1100024,12499.11
1101341,11400
1101342,11400
1101141,1339.88
1100564,549.11
1101190,5262
1100040,7718
1101125,3388.98
1100041,4236.44
1101398,1159.82
1100986,624.11
1101189,4407
1101411,0
1101383,522.32
1101377,812.5
1101172,446.43
1100074,0
1101238,736.67
1101423,21612.22
1101343,21620.22
1100045,19196.43
1100044,17139.67
1100046,24827.68
1100047,24827.68
1100048,24827.68
1101422,24827.68
1100049,41434.82
1100050,44254.46
1100051,33131.25
1100053,36602.68
1101445,33131.25
1100054,49738.39
1100055,49738.39
1100056,41434.83
1101243,45337.5
1100057,44553.57
1100058,64338.39
1100059,64338.39
1100060,64553.57
1100061,51979.46
1100064,75857.21
1100065,75857.21
1101244,75857.21
1100797,29523.8
1100535,32587.5
1100536,55625
1101293,50208.92
1101247,66897
1101246,73594
1100069,90693.96
1100076,90693.96
1100077,82952.11
1100078,79420.69
1101291,68006.25
1101345,68006.25
1101346,68006.25
1101295,68006.25
1101348,60719.64
1101349,76309.82
1101350,76309.82
1101351,76309.82
1101352,76309.82
1101296,63854.47
1101353,63854.47
1101318,63854.47
1101297,63854.47
1101305,63854.47
1101354,63854.46
1101155,95408.04
1101156,94931
1101157,"1,02,589.29"
1101159,"1,12,316.30"
1101152,82952.68
1101153,82952.67
1101154,82952.67
1101164,"1,03,711.61"
1101165,"1,03,711.61"
1101161,91256.25
1101162,91256.25
1101163,91256.25
1100563,3985.17
1101412,3985.17
1100084,1674.11
1100085,2633.93
1100087,2390.79
1100474,1833.54
1100553,2391.58
1100445,2633.93
1101313,0
1101396,0
1101399,0
1100593,0
1101425,866.07
1101382,848.21
1100089,891.96
1100806,573.33
1100090,534.82
1101313,535.71
1101122,624.11
1100565,758.04
1100091,891.96
1100456,664.42
1100593,714.29
1100838,1144.23
1100092,597.1
1100451,624.11
1100754,766.67
1100839,1000
1101357,1606.25
1100096,924.6
1101123,2678.57
1100097,891.96
1101314,821.43
1101442,552.68
1100099,3570.54
1100740,4609.38
1100100,3985.17
1100101,3985.17
1100663,891.96
